,epoch,training loss,validation loss
0,0,507515.04261779785,333038.15671539307
1,1,507070.2165222168,331924.68922042847
2,2,506328.7095489502,326523.3764343262
3,3,502902.23149490356,322523.7993469238
4,4,501853.21646881104,320413.4441986084
5,5,500971.68254470825,318659.546836853
6,6,500502.71308898926,317508.3562698364
7,7,499924.5121459961,316291.7124786377
8,8,499735.9301147461,315820.38150787354
9,9,499125.2129058838,314485.27367401123
10,10,498993.66732025146,313628.73014831543
11,11,498618.67611694336,312780.26469421387
12,12,498408.56842041016,312106.2992782593
13,13,498279.7959213257,310759.13791656494
14,14,498148.5474395752,310713.8903579712
15,15,497909.08572387695,309536.0888595581
16,16,497664.5474700928,309392.1683654785
17,17,498039.69244384766,309126.06606292725
18,18,497404.60722351074,308065.5633087158
19,19,497860.5346069336,307670.4075164795
20,20,497471.6230163574,307900.8148498535
21,21,497400.2501678467,306558.7532272339
22,22,497309.7694129944,307089.8293762207
23,23,497021.6944580078,306214.3488922119
24,24,496962.2557067871,305975.8999862671
25,25,497109.18550109863,305341.28718566895
26,26,496684.7571411133,305428.51139831543
27,27,496844.5478134155,304972.5200805664
28,28,496805.0037307739,305080.8261871338
29,29,496569.14808654785,304452.88890075684
30,30,496692.3293457031,303978.1962509155
31,31,496426.4959716797,304037.6989593506
32,32,496286.9627685547,303692.82194519043
33,33,496495.10876464844,303316.7865371704
34,34,496575.87380981445,303189.52532958984
35,35,497041.5229187012,303026.287979126
36,36,496716.4560546875,302469.02502441406
37,37,496640.41523742676,302758.3169708252
38,38,496346.31408691406,302472.1653137207
39,39,496512.5534667969,302154.46281433105
40,40,496329.1915435791,302110.6078186035
41,41,496288.3010482788,302050.26248168945
42,42,496663.4678554535,302013.61792755127
43,43,496447.5663909912,302002.49405670166
44,44,496380.7588195801,301854.91248321533
45,45,496280.8510437012,301239.0831298828
46,46,496580.62815856934,301711.2349243164
47,47,496330.3886413574,301443.862991333
48,48,496508.72830200195,301255.16876220703
49,49,496363.26669311523,301170.0478897095
50,50,496254.8560333252,300880.40715789795
51,51,496107.5758628845,300581.97201538086
52,52,496036.63862609863,300635.37870788574
53,53,496374.41482925415,300860.96688842773
54,54,496428.65336608887,300349.2223815918
55,55,496596.52531433105,300335.6617279053
56,56,496219.8879394531,300401.8544540405
57,57,496259.15715026855,300078.3044433594
58,58,496337.5760192871,300090.76246643066
59,59,496428.3617324829,300379.82331848145
60,60,496556.88442611694,300103.84854888916
61,61,496122.7547893524,300090.0277404785
62,62,496222.53244018555,300041.47705078125
63,63,496212.9595489502,299944.8489074707
64,64,496260.76083374023,300283.57735443115
65,65,496205.4739494324,300017.5806503296
66,66,496168.3435096741,299535.7526168823
67,67,496197.74992370605,299608.63986968994
68,68,496170.85150146484,299739.5824813843
69,69,496066.49838256836,299631.626083374
70,70,496450.0092163086,299295.7509536743
71,71,496475.7730255127,299358.4977798462
72,72,496203.84243774414,299587.5898513794
