epoch,training loss,validation loss
0,507821.998375237,333682.35677719116
1,507542.426361084,333348.82179260254
2,507284.6429595947,332307.05310821533
3,506688.4451828003,329807.57077789307
4,504460.6818637848,325877.66703796387
5,503144.7011642456,319037.71422576904
6,500634.17578125,317700.8635864258
7,500040.4038963318,317183.14153289795
8,499509.87341308594,315498.71060943604
9,499152.5112915039,314034.14012908936
10,498788.3618774414,312799.2159729004
11,498449.31951904297,312688.2082901001
12,498386.9171180725,311425.24584198
13,498130.74279785156,310429.3057785034
14,497840.98919677734,309958.78088378906
15,497883.49672698975,309777.54623413086
16,497598.39206695557,308632.3842010498
17,497383.5055541992,308341.50047302246
18,497279.0608177185,308002.06828308105
19,497335.5158958435,307690.4174194336
20,497101.3751220703,307114.3242340088
21,497090.1989746094,306315.89933776855
22,496939.3298339844,306329.77880096436
23,497007.1049499512,305550.7988128662
24,496843.76776123047,305632.15802001953
25,496896.7131500244,304894.0919265747
26,496894.24057006836,305275.74659729004
27,496795.66778564453,304828.43532562256
28,496625.60821533203,304479.9415740967
29,496629.0246582031,304247.48388671875
30,496673.2193145752,303834.66398620605
31,496561.50674438477,303285.250579834
32,496529.8006210327,303200.4017944336
33,496527.74632263184,303571.2536621094
34,496513.79370880127,302791.437538147
35,496432.5467529297,302897.56855773926
36,496429.1967468262,302820.69957733154
37,496466.1222381592,302270.5161437988
38,496492.84161376953,302642.1432571411
39,496516.6112976074,302177.4465408325
40,496496.0563278198,301601.9390716553
41,496306.68531799316,301776.38694763184
42,496323.24963378906,301824.1446762085
43,496384.7303161621,301436.2201156616
44,496346.29917907715,301387.4709777832
45,496283.0202255249,301345.46851348877
46,496429.1977844238,301630.0044326782
47,496299.6596221924,301145.1315383911
48,496320.60037231445,301069.3205871582
49,496225.5991973877,300920.9378051758
50,496324.2771682739,300570.9215621948
51,496218.81719207764,300674.4822616577
52,496261.73614501953,300666.2054748535
53,496236.36386680603,300586.7492675781
54,496206.97731018066,300532.9098434448
55,496325.5543823242,300688.10485839844
56,496274.9813308716,300318.7042541504
57,496235.47676086426,300054.0548324585
58,496224.61752319336,300260.7840118408
59,496183.74517822266,300188.1124420166
60,496277.501663208,300277.0717391968
61,496267.9019012451,299933.40505981445
62,496197.2766799927,299976.2844543457
63,496231.34506225586,299981.7395629883
64,496419.92124938965,299877.30529785156
65,496201.5258331299,299907.89614868164
66,496375.49073791504,300015.8349533081
67,496165.5452270508,299541.38972473145
68,496286.8113193512,299575.92792510986
69,496298.9479370117,299500.5471878052
70,496271.2826385498,299404.69397735596
71,496272.98137283325,299700.6286315918
72,496186.639251709,299632.09466552734
73,496425.862493515,299058.34268951416
74,496222.6039428711,299384.4270706177
75,496152.59689331055,299476.9204483032
76,496354.07290649414,298974.3296508789
77,496286.33291625977,299528.78147125244
78,496372.32302856445,299091.3000488281
79,496297.42808532715,299063.77043151855
80,496315.1056365967,299436.32079315186
81,496156.9719390869,299152.9862136841
82,496209.50386047363,299282.2127227783
83,496262.5284576416,298951.81327819824
84,496194.3694152832,299197.45837402344
85,496219.6777496338,299328.3462982178
86,496186.3865966797,298999.71240234375
87,496192.1955566406,298893.6337661743
88,496244.375579834,298899.5160675049
89,496236.0639343262,299347.2958679199
90,496315.15252685547,298865.2823257446
91,496206.4521331787,299118.42169189453
92,496185.63943481445,299101.8903656006
93,496233.58361816406,298865.0055465698
94,496409.7361755371,299371.7313308716
95,496264.8345336914,298774.6163101196
96,496265.2494049072,299217.8284301758
97,496248.33700561523,298785.1545944214
98,496343.30770874023,299102.55766296387
99,496208.63510131836,298968.91020202637
100,496238.9855041504,299116.8486480713
101,496179.60500335693,298684.56161499023
102,496315.8159713745,298742.54720306396
103,496277.95054626465,298889.83432006836
104,496215.26837158203,298707.87299346924
105,496159.2959136963,298689.0598449707
106,496234.0244140625,298685.08779907227
107,496292.24990844727,299012.8113861084
108,496180.7629852295,298955.9620742798
109,496261.2092285156,298511.3885421753
110,496218.1696777344,298461.7144088745
111,496193.66873168945,298695.17893218994
112,496246.3188171387,298740.1764831543
113,496195.6891479492,298901.7049179077
