epoch,training loss,validation loss
0,507374.04109191895,332355.3661766052
1,505834.77920532227,327537.99938964844
2,503640.036447525,324072.42420578003
3,504904.3544769287,322869.5100822449
4,504822.8128223419,322827.96392059326
5,508128.4514503479,322887.8934249878
6,503187.4701309204,327424.20613861084
7,505528.1760253906,321059.6763381958
8,504804.251493454,320355.6100692749
9,494250.559091568,326383.934425354
10,512445.44372558594,326583.7042694092
11,508800.24255275726,320051.7265472412
12,502285.673828125,319128.7647476196
13,501052.04864501953,325900.30506134033
14,502797.62044525146,318097.18714141846
15,502195.2015838623,317334.2546386719
16,501267.64711761475,316426.3863143921
17,501230.9929962158,316408.6009750366
18,506737.20238494873,324615.02671813965
19,501319.21813964844,315875.0500640869
20,499355.3103942871,315085.1474685669
21,501324.5177593231,314278.8356933594
22,498892.61044692993,313987.70947265625
23,503060.4670715332,313233.9346847534
24,498798.3960571289,312654.2586593628
25,493226.696685791,322870.8397369385
26,509289.73851776123,312069.96503448486
27,495076.0670776367,322484.24613952637
28,510352.7771682739,322675.4349517822
29,501809.9645996094,311982.6026992798
30,502489.8144302368,319960.3377532959
31,498195.47971343994,310427.94921875
32,497933.8354434967,310684.54651641846
33,499909.974029541,309978.11573791504
34,500455.9884033203,309486.85774230957
35,498724.80868530273,309320.5919036865
36,497562.81172180176,308812.57888031006
37,501065.2532424927,308638.0178451538
38,497498.1999511719,308265.1341705322
39,497298.3194580078,307792.0039138794
40,490418.57611083984,320863.1467437744
41,513982.4832687378,307852.3094177246
42,497265.58547592163,307662.5066680908
43,497143.81533813477,306834.6581802368
44,497116.993976593,306898.2268295288
45,503635.05615234375,307526.79064941406
46,497193.1061706543,306817.40814971924
47,497037.42123413086,306091.47413635254
48,496810.7612609863,305886.62044525146
49,496827.96781921387,305573.93908691406
50,501539.0025177002,305585.030670166
51,497252.6606750488,304899.420463562
52,496746.8748474121,304916.73416900635
53,496721.22509765625,304798.21726989746
54,496913.2483596802,304834.9947052002
55,498334.9467010498,304396.00202178955
56,496698.77839660645,303926.56397247314
57,496599.74632263184,303874.6139602661
58,498131.06243515015,303649.688041687
59,496615.17877197266,303630.40688323975
60,496620.4222717285,303223.4740753174
61,498586.7964172363,303394.6473617554
62,496594.1620788574,303169.8926086426
63,496487.8260746002,302908.1922683716
64,496474.24684143066,303077.61238098145
65,496582.83253479004,302394.2515029907
66,496437.7760620117,302456.29540252686
67,496358.29469299316,302245.30799102783
68,465979.59774780273,318661.5149230957
69,532287.7233505249,319105.1994781494
70,517063.5233345032,319558.9785003662
71,498846.547454834,319515.11906433105
72,511780.7942519188,319650.7307434082
73,506629.05236816406,306084.54317474365
74,497408.453994751,320111.9745941162
75,500996.8918457031,305789.8684539795
76,496810.8202819824,305379.12742614746
77,492659.06118392944,319739.00093078613
78,510316.0139770508,305122.4019088745
79,496782.02533245087,305209.18032073975
80,496738.03953552246,304600.46044158936
81,496659.52627563477,304447.7320022583
82,496751.4548034668,304418.1777496338
83,499599.59158325195,304019.81216430664
84,496604.2058792114,303841.19456481934
85,496719.6650695801,304005.3088684082
86,500748.0668029785,303762.15229797363
87,496596.38555908203,303311.49634552
88,496502.73316955566,303260.39192199707
89,496461.19382476807,303290.51097106934
90,496486.155960083,303286.690032959
91,493821.3326358795,318949.4658508301
92,515821.5866699219,303806.39280700684
93,496549.62451171875,303760.9966278076
94,496515.57833862305,303279.5801010132
95,496477.3966217041,302915.0190734863
96,496438.17321777344,302765.77072143555
97,496426.18359375,302812.46156311035
98,496558.5400238037,302165.5182418823
99,496418.2918395996,302263.61685943604
100,496356.46102142334,302186.93392944336
101,496422.4331665039,302020.76457214355
102,496367.1922454834,301791.2889328003
103,496391.08418273926,301985.3825073242
104,497402.5026397705,301593.8655471802
105,496413.9913635254,301194.9281539917
106,496356.19035339355,301454.0803451538
107,500380.66401672363,301377.83016204834
108,496408.97004699707,301581.94648742676
109,496278.3394088745,301304.9917755127
110,496270.9120788574,301375.91316986084
111,496312.32357788086,301184.365486145
112,496257.76780700684,301212.8187789917
